"","control_1","control_2","control_3","control_4","control_5","tumor_1","tumor_2","tumor_3","tumor_4","tumor_5"
"A1BG",8,26,6,73,89,147,71,122,109,76
"A1BG-AS1",2,7,5,55,60,80,37,64,64,41
"A1CF",108,72,175,368,181,292,145,86,55,167
"A2M",2384,1440,1860,29635,16992,33381,15018,14673,27463,13666
"A2M-AS1",181,106,110,1673,1058,1804,728,1167,1253,875
"A2ML1",0,0,0,0,0,2,826,96,21,6
"A2MP1",1,0,0,3,3,3,1,1,2,0
"A3GALT2",0,0,0,1,0,1,0,0,0,0
"A4GALT",16,14,9,177,195,217,100,256,360,217
"A4GNT",14,20,19,68,234,39,7,5,3,119
"AA06",0,0,0,0,0,0,0,0,0,0
"AAAS",105,131,143,572,273,432,504,384,337,331
"AACS",125,139,132,409,506,834,451,459,441,701
"AACSP1",1,1,0,3,4,2,3,1,1,2
"AADAC",292,288,160,781,1019,120,139,279,6,277
"AADACL2",0,0,0,0,0,0,0,0,0,0
"AADACL2-AS1",0,0,0,0,0,0,0,2,0,0
"AADACL3",0,0,0,0,0,0,0,0,0,0
"AADACL4",0,0,0,0,0,0,0,0,1,1
"AADACP1",29,7,5,6,18,86,140,11,1,23
"AADAT",16,25,17,96,61,82,93,85,99,41
"AAED1",32,37,32,143,159,187,214,234,350,299
"AAGAB",216,205,182,683,657,1158,1365,1353,1354,1044
"AAK1",132,166,191,405,641,757,624,460,1180,603
"AAMDC",108,65,85,345,279,347,399,430,256,311
"AAMP",533,593,584,1577,1544,2211,1920,2102,2048,2215
"AANAT",0,0,1,1,1,2,1,2,0,2
"AAR2",165,176,175,649,511,983,831,741,787,671
"AARD",0,1,1,14,4,9,2,8,11,9
"AARS",1210,1020,1293,2253,1688,2825,2476,2767,2120,2551
"AARS2",58,58,47,240,246,362,304,321,326,321
"AARSD1",0,0,0,0,0,0,0,0,0,0
"AASDH",64,89,77,231,278,270,357,270,266,238
"AASDHPPT",225,250,301,840,649,639,908,702,793,583
"AASS",30,68,97,356,313,362,366,209,380,197
"AATF",180,220,250,643,616,1068,826,1059,819,878
"AATK",163,189,112,223,333,185,245,48,119,310
"AATK-AS1",6,2,2,4,3,0,0,0,0,0
"ABAT",1849,2568,2682,1685,1396,865,534,293,257,1015
"ABCA1",152,138,169,672,1047,1022,1837,1210,2803,1758
"ABCA10",13,29,32,141,209,87,112,55,142,78
"ABCA11P",19,28,16,83,60,53,69,61,64,47
"ABCA12",2,0,0,0,3,347,202,51,64,88
"ABCA13",2,5,4,9,26,107,86,35,104,59
"ABCA17P",2,1,2,6,7,5,5,8,6,6
"ABCA2",182,164,164,530,1004,1209,936,1145,1105,933
"ABCA3",120,154,91,274,423,447,229,405,264,1254
"ABCA4",0,1,1,7,8,6,15,18,5,6
"ABCA5",268,291,308,773,812,296,304,207,274,669
"ABCA6",29,37,45,392,618,456,497,122,944,734
"ABCA7",94,71,76,196,248,251,720,347,400,227
"ABCA8",86,152,157,655,2210,424,735,160,2132,761
"ABCA9",24,58,50,397,360,364,331,78,690,335
"ABCB1",25,66,41,1042,798,891,133,228,245,175
"ABCB10",40,78,71,305,379,465,369,300,484,779
"ABCB11",0,0,0,1,3,13,30,0,30,0
"ABCB4",2,7,2,29,68,64,40,51,43,76
"ABCB5",0,1,0,20,10,6,15,10,27,14
"ABCB6",65,41,64,137,186,267,190,277,181,294
"ABCB7",101,125,131,337,316,501,504,517,451,508
"ABCB8",71,63,52,211,201,417,360,386,414,502
"ABCB9",16,13,14,66,91,126,221,64,99,87
"ABCC1",121,122,100,411,654,1120,831,966,1358,2264
"ABCC10",75,75,64,224,272,519,318,272,362,342
"ABCC11",1,1,0,1,11,3,24,10,0,38
"ABCC12",4,1,3,5,9,1,0,0,0,5
"ABCC13",0,0,0,0,0,3,0,1,0,0
"ABCC2",3,5,1,12,18,7,13,20,22,9
"ABCC3",210,222,277,1773,3027,3353,2483,4072,1166,9585
"ABCC4",103,64,84,346,388,518,437,482,789,661
"ABCC5",54,67,66,594,416,610,725,329,703,1039
"ABCC5-AS1",0,0,0,0,0,0,1,0,1,0
"ABCC6",107,116,98,119,81,40,41,44,32,72
"ABCC6P1",11,10,17,23,12,7,7,15,2,16
"ABCC6P2",7,8,8,6,15,2,7,21,3,22
"ABCC8",69,124,62,632,1297,523,1,49,132,11
"ABCC9",108,82,62,585,1858,681,555,187,2235,407
"ABCD1",142,81,92,263,200,296,267,227,404,300
"ABCD2",0,6,0,27,45,42,33,6,101,16
"ABCD3",346,373,387,924,1334,1375,1753,870,899,1585
"ABCD4",83,104,103,436,421,556,633,666,542,536
"ABCE1",313,368,321,1148,1133,1279,2170,1444,1619,1706
"ABCF1",0,0,0,0,0,0,0,0,0,0
"ABCF2",142,111,132,522,479,827,957,766,935,760
"ABCF3",246,241,241,603,517,840,799,663,749,984
"ABCG1",26,34,14,225,394,534,829,715,815,1180
"ABCG2",10,7,16,114,132,284,170,428,227,178
"ABCG4",0,3,0,0,5,2,2,8,3,6
"ABCG5",0,1,0,0,0,7,2,10,1,16
"ABCG8",0,0,0,0,1,3,0,10,0,11
"ABHD1",17,10,7,42,26,44,31,36,58,36
"ABHD10",240,182,192,531,585,549,620,533,474,795
"ABHD11",80,78,113,355,255,233,327,870,647,437
"ABHD12",781,825,769,1385,1204,1111,1133,1417,1436,1589
"ABHD12B",0,1,0,1,1,2,1,5,2,4
"ABHD13",95,104,119,546,621,673,909,685,858,784
"ABHD14A",60,43,43,119,168,80,65,121,94,79
"ABHD14A-ACY1",0,0,0,0,0,0,0,0,0,0
"ABHD14B",408,529,505,1260,1176,1168,1509,1401,1005,844
"ABHD15",63,76,68,274,390,460,376,422,418,399
"ABHD16A",0,0,0,0,0,0,0,0,0,0
"ABHD16B",10,14,16,40,74,76,90,109,69,79
"ABHD17A",271,242,220,695,776,899,969,780,1263,760
"ABHD17B",41,56,53,222,241,261,294,260,399,289
"ABHD17C",44,42,43,96,319,550,1110,1025,1219,1897
"ABHD2",972,1302,1084,3204,6099,10164,12816,5695,7250,10306
"ABHD3",60,69,61,294,310,639,464,497,468,511
"ABHD4",111,118,107,683,500,935,1000,652,1080,923
"ABHD5",109,104,107,368,414,634,832,359,688,590
"ABHD6",23,24,20,99,158,159,254,115,146,129
"ABHD8",89,62,67,154,183,245,240,263,239,212
"ABI1",213,232,265,1261,1079,1889,1687,1372,2006,2135
"ABI2",93,125,110,707,859,1340,1039,894,1228,755
"ABI3",33,21,16,266,174,366,190,176,385,321
"ABI3BP",64,88,60,1106,1852,956,605,274,1451,863
"ABL1",198,221,165,679,1551,1342,1240,1272,2224,1451
"ABL2",108,130,93,485,719,1099,974,605,2299,1338
"ABLIM1",387,428,437,2403,2908,2894,2557,2490,4082,5882
"ABLIM2",35,47,50,111,194,105,75,317,180,140
"ABLIM3",28,17,26,185,388,1060,1186,1851,652,558
"ABO",37,8,46,33,22,131,361,361,158,22
"ABR",124,135,87,1102,1073,2107,2003,1902,2766,1742
"ABRA",0,0,0,1,0,1,2,0,5,1
"ABRACL",36,54,56,474,316,832,630,608,980,688
"ABT1",156,153,145,418,399,612,627,496,553,399
"ABTB1",121,96,89,410,386,645,464,402,637,607
"ABTB2",23,15,11,103,149,303,179,509,337,345
"AC093375.1",3,1,0,2,6,0,7,1,1,10
"ACAA1",600,485,490,1148,1120,1258,1973,1406,1114,796
"ACAA2",480,504,439,1676,1445,1412,1675,1444,1334,2124
"ACACA",119,127,124,451,773,1243,802,972,1169,1302
"ACACB",218,288,222,585,837,736,474,332,835,310
"ACAD10",112,120,138,303,315,382,341,315,315,334
"ACAD11",6,5,7,24,15,33,36,16,19,22
"ACAD8",162,158,157,348,325,355,339,412,334,346
"ACAD9",145,129,159,491,352,565,513,596,552,652
"ACADL",152,178,153,229,115,40,20,20,41,40
"ACADM",520,566,609,1190,1142,1103,1299,821,887,1131
"ACADS",251,163,157,287,338,334,318,312,301,375
"ACADSB",228,253,274,453,529,536,267,278,465,477
"ACADVL",1948,1834,2207,3967,3367,3015,3111,2958,3522,2556
"ACAN",0,0,0,5,17,82,29,103,67,79
"ACAP1",6,5,9,125,165,128,103,85,263,101
"ACAP2",121,147,172,890,1140,1768,1518,1156,1991,1942
"ACAP3",91,99,103,309,365,496,439,351,478,315
"ACAT1",1359,1331,1230,2123,1525,885,719,675,1045,803
"ACAT2",74,140,126,581,410,880,573,895,534,558
"ACBD3",284,397,362,1183,1465,2035,2387,1884,2789,3923
"ACBD4",77,83,79,213,169,183,163,412,152,112
"ACBD5",142,150,164,708,756,1104,949,667,939,1707
"ACBD6",138,154,161,449,438,613,549,666,696,843
"ACBD7",2,3,2,12,16,26,9,26,22,6
"ACCS",74,49,46,249,149,100,91,211,145,153
"ACCSL",0,0,0,0,0,1,0,0,0,0
"ACD",47,60,45,177,134,237,186,260,197,177
"ACE",55,49,78,307,529,657,546,377,447,972
"ACE2",24,12,21,188,366,81,230,594,51,397
"ACER1",0,0,0,1,1,0,0,0,1,0
"ACER2",21,16,16,24,78,57,287,45,79,69
"ACER3",41,42,59,292,284,746,660,549,641,647
"ACHE",1,9,1,43,46,148,80,99,540,171
"ACIN1",320,368,364,1667,1449,2444,2489,1795,2032,1919
"ACKR1",18,64,41,542,861,149,153,8,716,187
"ACKR2",2,12,7,45,32,64,22,19,41,16
"ACKR3",514,564,622,716,956,759,970,792,785,985
"ACKR4",40,77,67,101,157,67,415,141,108,165
"ACLY",470,563,474,1873,2395,3173,2378,2558,3109,1815
"ACMSD",5,7,8,15,12,49,154,16,18,177
"ACN9",90,69,107,209,300,173,344,491,242,275
"ACO1",587,680,587,1129,1256,1044,1331,916,1296,1618
"ACO2",501,579,593,1314,1414,1866,1732,1422,1357,2487
"ACOT1",13,30,37,62,99,78,147,43,101,94
"ACOT11",20,35,40,90,97,210,320,233,125,233
"ACOT12",0,0,0,1,0,0,0,0,0,0
"ACOT13",169,177,216,560,569,732,927,749,535,557
"ACOT2",60,62,73,228,253,315,445,277,445,395
"ACOT4",21,26,24,75,53,81,178,120,101,150
"ACOT6",3,5,0,0,2,2,3,1,1,5
"ACOT7",51,38,30,157,203,409,896,392,315,562
"ACOT8",102,78,114,234,191,305,463,391,254,266
"ACOT9",78,90,81,432,468,940,1047,891,985,944
"ACOX1",521,832,615,1279,1249,1811,2398,871,1084,1625
"ACOX2",37,99,41,154,143,151,73,111,119,88
"ACOX3",171,96,112,303,200,255,165,170,228,247
"ACOXL",0,0,1,4,4,4,2,1,26,8
"ACP1",573,594,632,1466,1241,1435,2090,1436,1192,1716
"ACP2",219,196,230,562,545,646,788,658,816,803
"ACP5",45,66,100,813,421,1392,1541,643,1518,4046
"ACP6",30,58,67,141,149,191,376,259,216,244
"ACPP",9,10,16,54,45,112,43,42,63,232
"ACPT",0,0,0,0,0,0,0,1,0,0
"ACR",0,0,1,0,1,0,0,2,3,1
"ACRBP",19,17,21,74,38,50,50,37,75,55
"ACRC",10,2,7,31,22,12,27,14,19,22
"ACRV1",0,0,0,1,2,1,1,1,0,1
"ACSBG1",3,5,0,10,23,17,4,6,10,8
"ACSBG2",1,1,2,0,3,1,1,1,1,3
"ACSF2",89,87,97,337,371,443,481,742,313,1704
"ACSF3",91,97,76,153,233,340,272,353,326,420
"ACSL1",242,391,319,933,1399,1193,1539,1670,4055,2227
"ACSL3",200,142,175,742,1107,1623,1292,1549,1813,2479
"ACSL4",137,139,189,1315,1305,2020,2696,2047,2424,2393
"ACSL5",37,46,54,483,1550,3833,2956,2294,2344,7113
"ACSL6",16,15,24,36,122,21,8,10,38,18
"ACSM1",20,14,26,49,33,56,86,13,8,91
"ACSM2A",0,0,0,2,1,0,0,0,0,0
"ACSM2B",0,2,1,8,0,1,0,0,0,1
"ACSM3",301,419,352,630,479,176,852,289,121,756
"ACSM4",0,0,1,0,1,1,0,2,0,0
"ACSM5",5,3,3,45,30,49,26,10,51,44
"ACSS1",439,655,611,1390,1231,556,248,271,445,763
"ACSS2",136,215,172,773,515,746,645,916,608,915
"ACSS3",218,50,163,280,282,374,274,233,447,147
"ACTA1",1,0,0,3,1,0,2,3,5,4
"ACTA2",216,177,247,8125,3855,21013,37939,19377,27531,17206
"ACTB",2572,2287,1954,19054,25653,63696,68951,72808,81765,63046
"ACTBL2",0,0,0,3,0,9,61,34,41,12
"ACTC1",1,1,0,8,28,15,6,3,46,6
"ACTG1",5271,4822,3768,17085,21368,41320,38705,38802,47625,42512
"ACTG1P4",4,7,6,8,1,4,12,7,15,9
"ACTG2",1,0,3,60,90,140,2666,141,1568,344
"ACTL10",7,8,12,37,55,66,42,53,58,79
"ACTL6A",202,228,182,818,687,1306,1211,1514,1024,1430
"ACTL6B",1,2,1,16,13,5,0,0,3,0
"ACTL7A",1,0,0,0,0,0,0,0,0,0
"ACTL7B",0,0,0,0,0,0,0,0,0,1
"ACTL8",0,0,0,1,0,0,0,1,0,0
"ACTL9",0,0,1,0,0,0,0,0,0,0
"ACTN1",299,328,332,2363,2169,7390,9076,6761,6842,6973
"ACTN1-AS1",0,0,1,1,0,1,2,1,2,0
"ACTN2",11,10,11,29,18,11,12,8,26,17
"ACTN3",0,0,0,2,8,3,1,2,9,2
"ACTN4",773,1044,1001,5375,3868,16384,9302,9823,11296,5864
"ACTR10",282,259,248,917,1085,1655,1763,1616,1416,1501
"ACTR1A",313,387,335,1445,1367,2036,2009,1753,2398,2353
"ACTR1B",407,351,271,768,880,1022,1105,1259,950,846
"ACTR2",768,711,840,4595,4631,9027,11150,7029,10358,10551
"ACTR3",520,511,550,3780,2865,7057,8456,5425,6699,7160
"ACTR3B",54,30,38,83,72,84,58,92,85,95
"ACTR3BP2",0,0,0,0,0,0,0,0,0,0
"ACTR3BP5",0,0,0,2,0,0,0,0,0,0
"ACTR3C",54,68,47,71,63,96,72,39,48,61
"ACTR5",28,29,27,169,105,163,166,113,150,168
"ACTR6",92,76,89,399,439,576,616,505,585,575
"ACTR8",118,105,105,419,406,519,574,397,469,378
"ACTRT1",1,0,0,0,0,0,0,0,0,0
"ACTRT2",0,0,0,0,0,0,0,0,0,0
"ACTRT3",3,5,5,45,33,64,91,47,59,65
"ACVR1",89,106,92,694,809,1497,1264,1037,1387,1796
"ACVR1B",326,402,339,927,1041,936,600,370,908,1129
"ACVR1C",16,37,31,40,79,39,41,18,69,7
"ACVR2A",48,90,88,444,480,714,397,442,384,333
"ACVR2B",59,79,80,217,208,169,147,156,185,107
"ACVR2B-AS1",14,13,14,29,28,13,9,17,14,2
"ACVRL1",63,96,84,633,796,1144,633,600,981,768
"ACY1",3,1,3,3,8,5,3,19,13,9
"ACY3",95,90,155,204,99,171,76,141,57,79
"ACYP1",15,15,16,101,85,82,162,182,64,86
"ACYP2",38,51,45,129,122,181,167,129,135,185
"ADA",36,36,27,99,94,136,167,144,332,162
"ADAD1",0,0,0,2,0,0,0,0,0,0
"ADAD2",1,0,0,0,1,0,2,0,1,1
"ADAL",68,42,34,105,151,152,86,166,197,124
"ADAM10",219,246,250,1416,1390,4039,4276,2963,3179,2988
"ADAM11",2,2,0,9,6,6,8,9,20,8
"ADAM12",4,0,5,132,186,157,2173,374,3305,948
"ADAM15",235,242,202,724,1216,2271,2306,1173,2144,2607
"ADAM17",55,53,40,407,359,896,1276,636,1079,884
"ADAM18",0,0,0,0,0,0,0,0,0,0
"ADAM19",15,19,7,117,231,694,947,482,1105,568
"ADAM1A",10,10,10,41,32,32,38,16,28,32
"ADAM2",0,0,1,1,0,0,0,0,0,0
"ADAM20",0,0,1,1,2,0,1,0,0,1
"ADAM20P1",4,3,1,4,7,19,3,2,1,7
"ADAM21",0,1,0,2,2,8,4,5,2,4
"ADAM21P1",0,0,0,0,1,3,0,0,0,1
"ADAM22",18,30,19,215,289,718,813,777,1696,743
"ADAM23",13,13,2,98,216,237,142,102,325,156
"ADAM28",39,73,29,629,833,617,2180,589,429,2557
"ADAM29",0,0,0,2,2,0,0,3,7,0
"ADAM30",0,0,0,0,0,0,0,0,0,0
"ADAM32",10,26,32,30,34,16,18,22,38,27
"ADAM33",18,22,11,243,379,241,108,164,265,89
"ADAM3A",0,0,0,0,0,0,0,0,0,0
"ADAM5",0,0,0,0,0,0,0,0,0,0
"ADAM6",0,0,0,0,0,0,0,0,0,0
"ADAM7",1,1,2,1,1,0,0,0,0,0
"ADAM8",14,10,18,115,351,1474,904,1083,964,1612
"ADAM9",325,271,311,2669,3833,5499,14193,3222,6923,12192
"ADAMDEC1",7,0,0,75,32,62,36,117,475,443
"ADAMTS1",164,124,202,1174,4416,776,472,423,3486,1481
"ADAMTS10",37,38,43,416,344,576,268,194,369,309
"ADAMTS12",21,8,10,167,123,1311,1497,795,1251,1000
"ADAMTS13",22,15,7,25,54,50,47,72,36,40
"ADAMTS14",1,2,0,26,41,89,265,142,216,136
"ADAMTS15",3,5,2,47,256,65,175,69,318,105
"ADAMTS16",38,23,25,36,74,11,52,40,279,36
"ADAMTS17",38,47,28,44,62,16,35,16,69,22
"ADAMTS18",0,1,0,10,2,2,22,8,75,21
"ADAMTS19",0,0,2,2,0,0,0,0,3,0
"ADAMTS2",47,33,23,1164,820,6068,3046,3177,3008,2619
"ADAMTS20",0,0,0,0,0,1,2,0,1,0
"ADAMTS3",7,0,2,44,77,128,41,33,128,29
"ADAMTS4",50,8,32,276,827,452,437,441,797,1087
"ADAMTS5",4,5,9,96,300,394,253,188,268,312
"ADAMTS6",3,2,2,15,13,72,215,68,101,96
"ADAMTS7",4,7,5,44,52,166,283,117,370,111
"ADAMTS7P1",0,0,0,0,0,6,0,0,1,0
"ADAMTS8",10,10,6,236,414,207,44,18,117,137
"ADAMTS9",90,69,59,377,563,407,346,271,1353,380
"ADAMTS9-AS2",6,12,10,55,63,50,21,32,47,17
"ADAMTSL1",5,10,8,100,234,116,329,60,432,201
"ADAMTSL2",53,62,46,468,1265,2276,248,998,610,311
"ADAMTSL3",300,317,199,727,784,799,91,97,257,133
"ADAMTSL4",13,8,6,97,256,737,981,257,454,477
"ADAMTSL4-AS1",0,0,0,0,5,1,3,4,3,4
"ADAMTSL5",1,1,0,13,26,36,92,55,22,42
"ADAP1",101,81,74,168,568,603,480,599,551,1267
"ADAP2",38,25,30,317,291,362,415,266,609,651
"ADAR",637,744,694,3782,3841,7732,5913,5148,7394,9933
"ADARB1",36,61,38,226,404,488,314,245,587,472
"ADARB2",6,21,19,70,40,16,0,1,23,8
"ADARB2-AS1",0,0,0,0,0,0,0,0,0,0
"ADAT1",55,49,57,185,313,425,383,479,482,467
"ADAT2",18,30,25,98,56,73,66,58,59,61
"ADAT3",6,11,5,21,31,34,49,31,36,41
"ADC",22,13,13,113,87,244,246,231,332,171
"ADCK1",36,32,48,96,87,106,121,142,100,120
"ADCK2",126,106,90,381,340,508,535,617,482,537
"ADCK3",861,910,958,1476,1330,649,385,369,580,855
"ADCK4",113,117,103,359,359,616,415,671,491,362
"ADCK5",44,37,31,78,94,138,93,142,106,108
"ADCY1",227,108,75,198,202,339,59,139,289,69
"ADCY10",0,0,0,1,4,2,1,1,1,4
"ADCY10P1",9,11,11,60,26,14,31,7,20,8
"ADCY2",5,2,5,62,81,136,117,171,177,111
"ADCY3",96,69,49,490,1246,1209,707,720,1491,1011
"ADCY4",28,28,20,129,250,141,112,37,229,216
"ADCY5",68,70,92,433,360,613,98,208,266,170
"ADCY6",198,235,214,635,962,1068,1148,822,1389,964
"ADCY7",53,52,44,573,590,1236,1206,648,1459,1242
"ADCY8",0,0,0,1,1,0,0,0,1,0
"ADCY9",225,205,213,403,583,921,308,475,593,544
"ADCYAP1",22,28,33,176,326,139,8,13,110,7
"ADCYAP1R1",13,31,17,22,104,18,19,7,37,14
"ADD1",443,559,431,2120,2743,3822,2753,3063,4487,3332
"ADD2",21,36,11,56,66,43,125,33,131,29
"ADD3",651,1281,943,2559,3865,5180,3202,2581,3757,7686
"ADD3-AS1",27,55,29,76,130,194,138,87,173,227
"ADGB",0,0,0,2,2,0,0,0,1,1
"ADH1A",0,0,0,44,90,9,11,3,10,3
"ADH1B",555,817,463,2383,6305,1454,2191,118,3638,439
"ADH1C",114,108,110,1212,1382,285,92,1400,138,707
"ADH4",0,1,0,2,32,3,18,129,41,36
"ADH5",595,715,558,2615,2555,3329,3638,3687,3395,2896
"ADH6",2,0,2,37,80,28,10,260,4,350
"ADH7",1,0,0,0,0,0,0,0,0,0
"ADHFE1",53,84,85,135,105,48,34,22,24,26
"ADI1",306,301,359,986,1126,1440,1419,1655,1490,1910
"ADIG",0,1,0,0,0,0,0,0,0,0
"ADIPOQ",20,80,29,1,273,0,681,1,1555,1
"ADIPOQ-AS1",11,46,13,1,134,0,349,0,806,5
"ADIPOR1",759,783,711,1730,1804,2885,3312,2379,2795,4362
"ADIPOR2",301,272,248,789,1108,1799,1486,1717,1722,1503
"ADIRF",136,349,152,749,915,734,1015,299,593,399
"ADK",172,141,148,508,467,430,407,516,480,591
"ADM",11,12,11,32,68,61,265,2020,210,88
"ADM2",263,165,231,141,235,237,279,205,165,365
"ADM5",2,2,1,26,30,10,5,2,28,6
"ADNP",258,288,241,996,1347,1845,1446,1443,1905,1462
"ADNP2",79,90,68,232,342,385,350,250,522,388
"ADO",59,118,97,416,516,968,674,953,985,735
"ADORA1",94,61,95,296,306,204,58,103,133,166
"ADORA2A",0,0,0,1,3,0,0,1,1,0
"ADORA2A-AS1",1,1,1,17,17,22,13,14,19,19
"ADORA2B",10,10,8,23,57,79,118,173,47,18
"ADORA3",15,8,11,291,118,256,563,584,729,663
"ADPGK",174,184,168,656,684,1212,1124,971,1365,1437
"ADPGK-AS1",17,12,20,50,53,105,121,69,156,122
"ADPRH",89,81,55,300,262,400,301,214,459,491
"ADPRHL1",31,32,60,30,77,47,60,100,26,106
"ADPRHL2",97,92,82,310,344,517,676,434,499,653
"ADPRM",52,59,56,183,161,191,167,198,249,137
"ADRA1A",1,1,0,1,3,8,0,0,5,1
"ADRA1B",1,1,2,1,8,27,1,7,25,11
"ADRA1D",1,0,0,4,3,7,2,3,5,0
"ADRA2A",69,120,104,858,1184,393,822,517,1050,2149
"ADRA2B",0,3,7,4,12,11,3,11,17,7
"ADRA2C",18,37,15,110,116,123,6,72,96,132
"ADRB1",2,3,5,13,14,7,3,5,13,3
"ADRB2",7,11,8,63,68,68,53,32,132,34
"ADRB3",0,0,0,1,1,9,6,4,4,3
"ADRBK1",181,167,182,928,1309,2619,1820,1671,2488,2112
"ADRBK2",76,80,108,635,639,740,657,377,807,579
"ADRM1",417,323,279,754,783,1690,1595,1309,1535,1333
"ADSL",316,338,329,867,733,1047,1127,1204,827,877
"ADSS",173,193,192,839,951,1606,1500,1406,1786,1970
"ADSSL1",61,50,62,82,85,98,83,305,135,54
"ADTRP",17,2,19,23,15,656,764,735,73,150
"AEBP1",181,264,218,6546,4623,18679,17404,15031,19924,10764
"AEBP2",56,85,85,380,493,656,566,648,596,645
"AEN",168,75,199,162,357,355,367,445,580,434
"AES",1370,1657,1509,4167,5118,4804,4325,5181,5254,3470
"AFAP1",73,56,64,685,900,1677,1484,1649,2209,1485
"AFAP1-AS1",36,5,4,45,376,553,822,713,380,1689
"AFAP1L1",20,25,18,131,160,288,172,156,329,223
"AFAP1L2",186,378,323,413,355,591,786,726,779,1157
"AFF1",473,598,480,1447,1786,2005,2090,1304,3180,1748
"AFF2",1,20,0,19,27,102,65,44,81,25
"AFF3",2,8,1,40,105,183,87,80,167,42
"AFF4",341,397,391,1518,2066,3562,2517,1834,3620,3496
"AFG3L1P",23,25,24,120,67,109,107,116,99,96
"AFG3L2",437,420,499,1251,1372,1536,1643,828,1371,1496
"AFM",4,2,5,8,6,1,0,0,0,1
"AFMID",215,215,189,390,342,361,289,237,249,603
"AFP",0,1,2,4,1,1,3,10,1,9
"AFTPH",410,429,409,1108,1144,1506,1208,922,1053,1283
"AGA",330,317,327,807,491,510,746,569,415,634
"AGAP1",122,215,187,404,659,870,555,834,659,623
"AGAP11",3,8,9,25,22,41,18,11,18,7
"AGAP2",38,60,38,232,269,503,429,405,527,412
"AGAP2-AS1",32,70,33,165,179,367,375,381,347,312
"AGAP3",319,395,279,639,747,948,1074,1032,1141,1124
"AGAP4",0,0,3,4,4,7,13,3,7,4
"AGAP5",6,5,4,14,20,18,10,7,12,12
"AGAP6",11,10,10,62,40,44,56,43,40,34
"AGAP7",0,0,1,1,2,1,1,0,1,1
"AGAP9",0,0,0,0,0,0,0,0,2,0
"AGBL1",0,0,0,1,0,0,0,0,0,0
"AGBL1-AS1",0,0,0,0,0,0,0,0,0,0
"AGBL2",8,1,5,16,9,16,30,21,5,12
"AGBL3",10,8,11,24,20,22,13,14,16,10
"AGBL4",4,5,0,4,7,4,1,4,2,3
"AGBL4-IT1",0,0,0,0,0,0,0,0,0,0
"AGBL5",333,356,311,1117,1042,1323,1635,1755,1461,1579
"AGBL5-AS1",0,0,0,0,0,0,0,0,0,0
"AGER",0,0,0,0,0,0,0,0,0,0
"AGFG1",208,196,186,839,1022,1656,1629,1410,1922,1939
"AGFG2",65,110,126,462,480,872,359,455,400,367
"AGGF1",158,194,164,685,689,835,905,650,924,1046
"AGK",68,83,84,352,330,459,450,431,521,418
"AGL",132,104,134,480,590,712,764,408,694,804
"AGMAT",26,24,22,24,84,89,72,197,81,299
"AGMO",0,0,0,15,88,256,739,45,46,243
"AGO1",125,127,115,451,592,880,663,565,890,631
"AGO2",28,24,24,63,134,267,160,155,265,234
"AGO3",20,23,25,77,101,185,127,82,196,147
"AGO4",106,114,118,518,507,875,593,293,835,648
"AGPAT1",0,0,0,5,6,6,0,5,1,2
"AGPAT2",520,611,457,1065,1095,1144,1249,2488,981,1743
"AGPAT3",278,257,266,820,1047,1493,1247,941,1468,1682
"AGPAT4",27,39,31,203,169,365,345,264,268,295
"AGPAT4-IT1",0,0,0,9,1,6,5,1,3,5
"AGPAT5",99,99,88,398,492,597,801,452,657,785
"AGPAT6",259,233,224,954,1014,1355,1406,832,1524,1521
"AGPAT9",13,11,7,83,127,114,64,52,137,176
"AGPS",348,346,391,1225,1197,2091,2211,1636,1763,1629
"AGR2",98,370,49,836,3478,6857,2123,12249,6191,7422
"AGR3",25,20,10,181,346,594,655,850,105,498
"AGRN",358,420,356,2196,2488,7766,5448,5921,6029,3977
"AGRP",0,0,0,1,0,27,36,3,3,19
"AGT",34,7,33,901,389,1200,143,912,327,633
"AGTPBP1",110,121,85,337,352,520,353,409,511,318
"AGTR1",9,13,17,66,221,48,44,15,151,36
"AGTR2",13,14,3,5,25,2,2,0,58,0
"AGTRAP",145,152,160,534,384,928,847,709,727,985
"AGXT",0,0,0,0,1,0,4,1,0,3
"AGXT2",1,0,0,1,0,0,0,1,0,0
"AHCTF1",102,189,129,407,511,773,596,397,915,933
"AHCTF1P1",5,11,4,21,26,23,18,12,28,34
"AHCY",1567,1435,1257,1640,1711,1813,1664,2271,2112,2334
"AHCYL1",860,710,671,2443,2574,3221,2664,2152,2447,3158
"AHCYL2",170,206,195,651,1351,1071,1644,817,819,5115
"AHDC1",36,52,30,208,303,585,368,357,585,408
"AHI1",62,96,80,381,329,398,342,236,393,276
"AHNAK",991,2136,1120,13605,21236,30057,23724,24753,34293,15146
"AHNAK2",15,40,15,187,844,4432,2003,3979,2841,4659
"AHR",117,145,128,1499,2582,4327,5513,3669,5084,3962
"AHRR",5,1,2,8,31,49,29,39,86,12
"AHSA1",300,348,312,1151,1024,1871,2273,1834,1339,1807
"AHSA2",37,43,69,557,190,410,318,300,174,207
"AHSG",29,0,2,4,0,0,11,2,1,4
"AHSP",0,0,0,0,2,0,0,0,0,1
"AICDA",0,0,0,1,0,3,1,0,2,7
"AIDA",449,475,455,1900,1892,3123,2985,2511,3153,3624
"AIF1",0,0,0,0,0,3,0,0,1,0
