"","control_1","control_2","control_3","control_4","control_5","tumor_1","tumor_2","tumor_3","tumor_4","tumor_5"
"MAEA",170,241,203,775,601,805,1150,845,855,1018
"MAEL",1,0,1,4,5,25,19,25,13,19
"MAF",76,55,75,684,1267,860,1317,1344,1655,971
"MAF1",452,444,355,1166,1311,1670,1499,1876,1867,1725
"MAFA",7,7,7,53,55,75,0,2,15,2
"MAFB",78,83,59,959,609,855,1220,1524,3459,991
"MAFF",35,43,43,152,694,514,767,781,860,1434
"MAFG",66,85,79,373,674,952,733,624,1218,921
"MAFG-AS1",11,8,8,34,40,56,53,43,75,37
"MAFIP",26,62,41,50,200,33,103,58,186,212
"MAFK",153,172,194,592,772,1424,1052,1026,1607,1091
"MAG",0,1,1,2,4,0,1,0,0,3
"MAGEA1",0,0,1,1,0,0,0,0,0,0
"MAGEA10",0,0,0,0,0,0,0,0,0,1
"MAGEA10-MAGEA5",0,0,0,0,0,0,0,0,0,0
"MAGEA11",1,0,0,0,0,0,0,0,0,0
"MAGEA12",0,0,0,1,1,1,0,0,0,0
"MAGEA2",0,0,0,0,0,0,0,0,0,0
"MAGEA2B",0,0,0,0,0,0,0,0,0,0
"MAGEA3",0,0,0,0,0,0,0,0,0,0
"MAGEA4",0,0,0,0,0,0,0,1,0,1
"MAGEA5",0,0,0,0,0,0,0,0,0,0
"MAGEA6",1,1,0,0,0,0,0,0,0,0
"MAGEA8",0,0,0,2,0,0,1,0,0,0
"MAGEA8-AS1",0,0,0,1,0,0,0,0,1,0
"MAGEA9",0,0,0,0,0,0,0,0,0,0
"MAGEA9B",0,0,0,0,0,0,0,0,0,0
"MAGEB1",0,0,0,0,0,0,0,0,0,0
"MAGEB10",0,0,0,0,0,0,0,0,0,0
"MAGEB16",0,0,0,0,0,0,0,0,0,0
"MAGEB17",1,3,7,5,3,0,1,1,0,0
"MAGEB18",0,0,0,0,0,0,0,0,0,0
"MAGEB2",0,0,0,1,1,0,0,0,0,0
"MAGEB3",1,0,0,0,0,0,0,0,0,0
"MAGEB4",0,0,0,0,0,0,0,0,0,0
"MAGEB5",0,0,0,0,0,0,1,1,0,4
"MAGEB6",0,0,0,0,0,0,0,0,1,0
"MAGEC1",1,0,0,0,0,0,0,0,0,0
"MAGEC2",0,0,0,0,0,0,0,0,0,0
"MAGEC3",0,0,0,0,0,0,1,0,0,0
"MAGED1",631,735,825,2494,2129,3004,4038,2751,3463,3185
"MAGED2",607,719,593,3414,2583,4688,4380,3909,4561,3337
"MAGED4",0,0,0,0,0,0,0,0,0,0
"MAGED4B",0,0,0,0,0,0,0,0,0,0
"MAGEE1",38,52,28,78,82,70,55,39,66,32
"MAGEE2",2,0,1,2,4,8,2,4,4,2
"MAGEF1",165,208,150,541,672,680,652,782,577,856
"MAGEH1",166,200,151,668,640,684,655,587,811,633
"MAGEL2",7,8,0,22,27,37,44,28,50,25
"MAGI1",181,161,195,645,706,602,525,396,475,437
"MAGI1-AS1",0,0,0,0,0,0,0,0,0,0
"MAGI2",12,31,20,200,233,286,155,218,255,181
"MAGI2-AS2",0,0,0,0,0,0,0,0,0,0
"MAGI2-AS3",21,34,30,434,775,683,665,617,1067,679
"MAGI3",177,261,179,385,441,475,393,299,436,434
"MAGIX",29,40,42,70,78,53,50,89,45,67
"MAGOH",97,116,115,471,490,619,735,680,560,657
"MAGOH2",1,1,0,4,7,5,4,3,6,2
"MAGOHB",33,43,40,171,148,217,292,362,305,282
"MAGT1",630,797,800,2045,2303,2809,3112,2444,3068,3124
"MAK",6,5,7,20,15,18,14,21,20,10
"MAK16",79,99,89,427,421,458,602,319,533,557
"MAL",1,0,3,5,12,12,13,1,42,26
"MAL2",376,437,513,2032,1864,6285,9936,5506,4396,6107
"MALAT1",194,339,537,3341,1751,1261,2834,2243,1254,1774
"MALL",48,31,26,221,506,1590,2777,2761,2742,1041
"MALRD1",1,0,0,14,9,14,9,20,9,8
"MALSU1",94,87,85,244,288,371,328,493,374,415
"MALT1",81,81,71,370,420,563,593,391,771,515
"MAMDC2",36,38,28,219,325,282,120,153,237,97
"MAMDC2-AS1",0,0,1,0,4,1,1,7,0,2
"MAMDC4",23,19,23,82,58,45,70,109,91,216
"MAML1",117,159,168,485,595,980,599,948,1073,716
"MAML2",48,47,68,618,590,1040,939,1064,1122,527
"MAML3",84,117,89,294,343,427,276,269,352,289
"MAMLD1",16,40,33,122,125,164,82,66,152,112
"MAMSTR",2,10,3,11,10,13,17,21,9,19
"MAN1A1",1063,980,1334,3614,5505,2678,3322,2086,5567,3142
"MAN1A2",466,614,459,820,1045,1399,1083,628,1343,1197
"MAN1B1",234,218,174,590,802,1057,1320,1673,1127,1556
"MAN1B1-AS1",4,10,6,28,32,22,34,47,40,29
"MAN1C1",25,41,22,363,652,779,325,405,1121,427
"MAN2A1",327,447,311,922,1073,1941,1048,684,1568,1243
